University;Street;Number;Postal code;City;Staff_number
Wageningen University;Droevendaalsesteeg;4;6708 PB;WAGENINGEN;3247
Radboud University;Houtlaan;4;6525 XZ;NIJMEGEN;3903
University of Groningen;Broerstraat;5;9712 CP;GRONINGEN;5146
Maastricht University;Minderbroedersberg;4;6211 LK;MAASTRICHT;4565
Open University;Valkenburgerweg;177;6419 AT;HEERLEN;668
TU Eindhoven;Den Dolech;2;5612 AZ;EINDHOVEN;3606
Tilburg University;Warandelaan;2;5037 AB;TILBURG;2144
University van Amsterdam;Spui;21;1012 WX;AMSTERDAM;5697
VU Amsterdam;De Boelelaan;1105;1081 HV;AMSTERDAM;4354
University Twente;Drienerlolaan;5;7522 NB;ENSCHEDE;3251
University Utrecht;Heidelberglaan;8;3584 CS;UTRECHT;6792
Erasmus University Rotterdam;Burgemeester Oudlaan;50;3062 PA;ROTTERDAM;2938
TU Delft;Prometheusplein;1;2628 ZC;DELFT;6253
Leiden University;Rapenburg;70;2311 EZ;LEIDEN;5160
