,Unnamed: 0,University,Staff_number,Address,latitude,longitude,participants,participants_rel
0,0,Wageningen University,3247,"Droevendaalsesteeg 4, 6708PB, WAGENINGEN, Nederland",51.9863887,5.6680085,44.0,0.013550970126270403
1,1,Radboud University,3903,"Houtlaan 4, 6525XZ, NIJMEGEN, Nederland",51.8168933,5.8654912,27.0,0.006917755572636433
2,2,University of Groningen,5146,"Broerstraat 5, 9712CP, GRONINGEN, Nederland",53.219246,6.5631006,28.0,0.005441119315973571
3,3,Maastricht University,4565,"Minderbroedersberg 4, 6211LK, MAASTRICHT, Nederland",50.8471289,5.6864176,26.0,0.005695509309967141
4,4,Open University,668,"Valkenburgerweg 177, 6419AT, HEERLEN, Nederland",50.8787016,5.9576505,,
5,5,TU Eindhoven,3606,"Den Dolech 2, 5612AZ, EINDHOVEN, Nederland",51.4478875,5.4859493,30.0,0.008319467554076539
6,6,Tilburg University,2144,"Warandelaan 2, 5037AB, TILBURG, Nederland",51.5632488,5.0422382,4.0,0.0018656716417910447
7,7,University of Amsterdam,5697,"Spui 21, 1012WX, AMSTERDAM, Nederland",52.3685848,4.8902006,87.0,0.015271195365982097
8,8,VU Amsterdam,4354,"De Boelelaan 1105, 1081HV, AMSTERDAM, Nederland",52.33396225,4.865196500737312,57.0,0.013091410197519523
9,9,University Twente,3251,"Drienerlolaan 5, 7522NB, ENSCHEDE, Nederland",52.239179750000005,6.8562745757352985,32.0,0.00984312519224854
10,10,University Utrecht,6792,"Heidelberglaan 8, 3584CS, UTRECHT, Nederland",52.0852978,5.1756637,61.0,0.0089811542991755
11,11,Erasmus University Rotterdam,2938,"Burgemeester Oudlaan 50, 3062PA, ROTTERDAM, Nederland",51.9176312,4.525962326490774,,
12,12,TU Delft,6253,"Prometheusplein 1, 2628ZC, DELFT, Nederland",52.002677,4.3752397,95.0,0.015192707500399808
13,13,Leiden University,5160,"Rapenburg 70, 2311EZ, LEIDEN, Nederland",52.1566349,4.4867397,40.0,0.007751937984496124
