,affiliation,participants
0,TU DELFT,82
1,UVA,64
2,UTRECHT UNIVERSITY,59
3,VU AMSTERDAM,49
4,WAGENINGEN UNIVERSITY,35
5,LEIDEN UNIVERSITY,34
6,TU/E,30
7,UNIVERSITY OF TWENTE,28
8,UNIVERSITY OF GRONINGEN,28
9,ERASMUS MC,26
10,MAASTRICHT UNIVERSITY,25
11,RADBOUD UNIVERSITY NIJMEGEN,24
12,UMC UTRECHT,15
13,ASTRON,15
14,LEIDEN UNIVERSITY MEDICAL CENTER,11
15,NETHERLANDS INSTITUTE FOR NEUROSCIENCE,11
16,NETHERLANDS INSTITUTE FOR SPACE RESEARCH (SRON),11
17,NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW),9
18,KNMI,8
19,RIJK ZWAAN,8
20,CENTRUM WISKUNDE & INFORMATICA,7
21,SURF SARA,7
22,DANS-KNAW,7
23,SURF,6
24,HOGESCHOOL VAN AMSTERDAM,6
25,UMC AMSTERDAM,6
26,RIVM,5
27,RADBOUD UMC,4
28,KONINKLIJKE BIBLIOTHEEK,4
29,FLUVES,3
30,ELIFE,3
31,HUYGENS INSTITUTE,3
32,ERASMUS UNIVERSITY ROTTERDAM ,3
33,SPINOZA CENTRE FOR NEUROIMAGING,2
34,DUTCH INSTITUTE FOR FUNDAMENTAL ENERGY RESEARCH,2
35,POLARIKS,2
36,NEDERLANDS INSTITUUT VOOR BEELD EN GELUID,2
37,SWISS FEDERAL INSTITUTE OF AQUATIC SCIENCE AND TECHNOLOGY,2
38,KING'S COLLEGE LONDON,2
39,JIVE,2
40,SAXION,2
41,DELTARES,2
42,NATIONALE POLITIE,2
43,DUTCH NATIONAL INSTITUTE FOR SUBATOMIC PHYSICS (NIKHEF),2
44,PRINCESS MAXIMA CENTER,2
45,DUTCH TECHCENTRE FOR LIFE SCIENCES,2
46,TILBURG UNIVERSITY,2
47,THE HAGUE UNIVERSITY OF APPLIED SCIENCES,2
48,UNIVERSITY OF BOLOGNA,2
49,JAMIA MILLIA ISLAMIA UNIVERSITY,2
50,NETHERLANDS INTERDISCIPLINARY DEMOGRAPHIC INSTITUTE,2
51,WESTERDIJK FUNGAL BIODIVERSITY INSTITUTE,2
52,PEGA,2
53,NWO,2
54,TECHNOPOLIS,2
55,DELFT INSTITUTE FOR WATER EDUCATION,1
56,THE TAX JUSTICE NETWORK,1
57,NOKIA,1
58,ITALIAN INSTITUTE OF TECHNOLOGY,1
59,LA SAPIENZA UNIVERSITY,1
60,RWTH AACHEN,1
61,INDIAN INSTITUTE OF SCIENCE,1
62,DOMINICAN COLLEGE,1
63,ZOOLOGICAL SOCIETY OF LONDON,1
64,AMSTERDAM UNIVERSITY OF APPLIED SCIENCES,1
65,DUTCH MINISTERY OF DEFENSE,1
66,MAASTRO CLINIC,1
67,AIIMS RISHIKESH,1
68,BELASTINGDIENST,1
69,MICROSOFT,1
70,UNIVERSITY OF MICHIGAN,1
71,HOGESCHOOL ARNHEM EN NIJMEGEN,1
72,VLAAMS INSTITUUT VOOR BIOTECHNOLOGIE,1
73,EXETER UNIVERSITY,1
74,DUTCH MINISTERY OWC,1
75,WESTERN UNIVERSITY,1
76,ROBOVALLEY,1
77,NR TSU,1
78,UNIVERSITY OF CAPE TOWN,1
79,MAX PLANCK INSTITUTE FOR RESEARCH ON COLLECTIVE GOODS,1
80,"INSTITUTE FOR WAR, HOLOCAUST AND GENOCIDE STUDIES",1
81,INTERNATIONAL INSTITUTE FOR SOCIAL HISTORY (IISG),1
82,UNIVERSITY OF PARMA,1
83,LEUVEN UNIVERSITY,1
84,UNIVERSITY OF VIENNA,1
